time,BTC_high,BTC_low,BTC_open,BTC_volumefrom,BTC_volumeto,BTC_close,BTC_conversionType,BTC_conversionSymbol,ETH_high,ETH_low,ETH_open,ETH_volumefrom,ETH_volumeto,ETH_close,ETH_conversionType,ETH_conversionSymbol,BCH_high,BCH_low,BCH_open,BCH_volumefrom,BCH_volumeto,BCH_close,BCH_conversionType,BCH_conversionSymbol,LTC_high,LTC_low,LTC_open,LTC_volumefrom,LTC_volumeto,LTC_close,LTC_conversionType,LTC_conversionSymbol
2018-03-08,10119.21,9086.85,9928.56,154879.22,1492236089.97,9316.72,direct,,772.51,688.84,751.13,397145.73,289838564.8,698.83,direct,,1043.47,1004.34,1092.14,128395.47,132541690.47,1032.29,multiply,BTC,188.18,174.69,186.05,687998.65,124496969.68,175.82,direct,
2018-03-09,9433.38,8393.45,9316.77,233598.15,2081621422.7,9252.76,direct,,730.46,642.06,698.83,599327.0,409323870.51,726.92,direct,,1076.21,926.69,1033.96,76018.18,74990482.15,1065.69,direct,,189.98,158.82,175.82,1433662.06,248799371.6,186.38,direct,
2018-03-10,9518.62,8727.43,9252.76,117409.38,1084925795.69,8797.27,direct,,747.82,678.65,726.76,283137.95,203802606.28,682.3,direct,,1011.69,980.9,1062.22,110157.72,110379032.7,1002.01,multiply,BTC,194.73,175.55,186.38,675927.93,125536991.93,177.3,direct,
2018-03-11,9735.64,8484.32,8797.27,149877.66,1374814644.2,9544.84,direct,,735.01,663.58,682.3,293925.85,206098889.64,720.36,direct,,1163.52,1082.38,1002.01,139217.55,158792704.17,1140.61,multiply,BTC,193.19,171.6,177.3,709486.34,130493862.2,188.39,direct,
2018-03-12,9907.41,8796.52,9543.98,152959.8,1435404200.39,9142.15,direct,,739.87,678.13,720.37,293711.48,208107856.0,697.02,direct,,1092.49,1031.23,1140.51,120170.69,126231262.61,1050.43,multiply,BTC,193.04,174.64,188.38,672197.12,123163748.35,177.85,direct,
2018-03-13,9486.12,8856.65,9142.27,133768.47,1228556284.3,9160.12,direct,,714.19,679.19,697.0,281269.14,194913670.75,689.96,direct,,1099.83,994.61,1051.06,70300.42,73859997.65,1053.55,direct,,181.94,171.33,177.85,555859.73,97844283.82,175.47,direct,
2018-03-14,9360.66,7966.94,9160.12,161775.05,1385572511.72,8217.7,direct,,703.38,586.7,689.96,512459.31,325415119.18,613.15,direct,,972.98,931.07,1054.33,131287.75,124071584.47,945.04,multiply,BTC,178.04,157.79,175.47,706506.68,116916175.42,160.77,direct,
2018-03-15,8432.12,7698.47,8216.22,187365.71,1519850464.55,8268.41,direct,,620.43,572.11,613.15,571770.63,342311699.48,610.56,direct,,952.52,923.58,944.87,118599.88,111694034.21,941.77,multiply,BTC,167.81,150.3,160.77,950156.53,152065919.9,164.28,direct,
2018-03-16,8616.63,7924.11,8267.95,129688.11,1082790136.53,8283.23,direct,,626.13,585.16,610.66,363025.84,221082941.44,600.53,direct,,1027.12,921.1,941.72,149509.51,145638387.04,974.11,multiply,BTC,172.02,158.56,164.28,589106.18,97457804.99,164.95,direct,
2018-03-17,8360.64,7765.41,8283.23,111641.32,901939422.97,7883.45,direct,,609.94,543.28,600.53,363384.63,208843294.98,549.79,direct,,978.34,919.21,974.11,136064.89,128933823.0,947.59,multiply,BTC,165.62,151.01,164.95,557327.8,87970243.09,152.65,direct,
2018-03-18,8299.86,7318.46,7882.67,198796.34,1535519444.95,8215.4,direct,,559.93,454.18,549.79,1438992.5,719812876.35,537.38,direct,,991.6,929.98,947.5,127636.01,119328503.75,934.91,multiply,BTC,157.44,137.51,152.65,1135098.02,166006029.57,153.94,direct,
2018-03-19,8725.6,8129.66,8215.5,171829.52,1447812723.08,8623.14,direct,,559.07,515.84,537.38,775671.57,418500605.22,555.55,direct,,1000.07,912.28,936.28,61104.15,58729088.37,994.67,direct,,163.91,151.02,153.94,801372.26,125855703.46,161.51,direct,
2018-03-20,9056.23,8339.8,8623.14,131959.66,1150462439.42,8920.71,direct,,567.0,516.78,555.55,607853.22,331343470.55,557.57,direct,,1081.19,1017.85,994.25,132508.73,140666562.38,1061.56,multiply,BTC,173.8,155.79,161.51,689660.21,113739250.11,169.09,direct,
2018-03-21,9184.51,8778.69,8920.53,109985.22,991376396.96,8911.35,direct,,590.2,545.48,557.57,488509.24,277714049.38,559.91,direct,,1063.12,1021.24,1061.54,99266.94,102436963.22,1031.93,multiply,BTC,175.41,165.51,169.09,589180.05,100728004.76,168.71,direct,
2018-03-22,9107.0,8500.88,8911.37,116522.98,1023286566.15,8724.98,direct,,578.01,516.22,559.91,431953.84,233985932.96,539.89,direct,,1065.19,987.44,1031.75,37921.37,38596693.88,1015.19,direct,,172.53,160.17,168.74,514546.99,85077161.93,163.93,direct,
